ticker,name,sector,industry,index,sector_etf
MMM,3M,Industrials,Industrial Conglomerates,sp500,XLI
AOS,A. O. Smith,Industrials,Building Products,sp500,XLI
ABT,Abbott Laboratories,Health Care,Health Care Equipment,sp500,XLV
ABBV,AbbVie,Health Care,Biotechnology,sp500,XLV
ACN,Accenture,Information Technology,IT Consulting & Other Services,sp500,XLK
ADBE,Adobe Inc.,Information Technology,Application Software,sp500,XLK
AMD,Advanced Micro Devices,Information Technology,Semiconductors,sp500,XLK
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,sp500,XLU
AFL,Aflac,Financials,Life & Health Insurance,sp500,XLF
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,sp500,XLV
APD,Air Products,Materials,Industrial Gases,sp500,XLB
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,XLY
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500,XLK
ALB,Albemarle Corporation,Materials,Specialty Chemicals,sp500,XLB
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,sp500,XLRE
ALGN,Align Technology,Health Care,Health Care Supplies,sp500,XLV
ALLE,Allegion,Industrials,Building Products,sp500,XLI
LNT,Alliant Energy,Utilities,Electric Utilities,sp500,XLU
ALL,Allstate,Financials,Property & Casualty Insurance,sp500,XLF
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,sp500,XLC
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,sp500,XLC
MO,Altria,Consumer Staples,Tobacco,sp500,XLP
AMZN,Amazon,Consumer Discretionary,Broadline Retail,sp500,XLY
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,sp500,XLB
AEE,Ameren,Utilities,Multi-Utilities,sp500,XLU
AEP,American Electric Power,Utilities,Electric Utilities,sp500,XLU
AXP,American Express,Financials,Consumer Finance,sp500,XLF
AIG,American International Group,Financials,Multi-line Insurance,sp500,XLF
AMT,American Tower,Real Estate,Telecom Tower REITs,sp500,XLRE
AWK,American Water Works,Utilities,Water Utilities,sp500,XLU
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,sp500,XLF
AME,Ametek,Industrials,Electrical Components & Equipment,sp500,XLI
AMGN,Amgen,Health Care,Biotechnology,sp500,XLV
APH,Amphenol,Information Technology,Electronic Components,sp500,XLK
ADI,Analog Devices,Information Technology,Semiconductors,sp500,XLK
AON,Aon plc,Financials,Insurance Brokers,sp500,XLF
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,sp500,XLE
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,sp500,XLF
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500,XLK
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,sp500,XLK
APP,AppLovin,Communication Services,Advertising,sp500,XLC
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,sp500,XLY
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,sp500,XLF
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,sp500,XLP
ARES,Ares Management,Financials,Asset Management & Custody Banks,sp500,XLF
ANET,Arista Networks,Information Technology,Communications Equipment,sp500,XLK
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,sp500,XLF
AIZ,Assurant,Financials,Multi-line Insurance,sp500,XLF
T,AT&T,Communication Services,Integrated Telecommunication Services,sp500,XLC
ATO,Atmos Energy,Utilities,Gas Utilities,sp500,XLU
ADSK,Autodesk,Information Technology,Application Software,sp500,XLK
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,sp500,XLI
AZO,AutoZone,Consumer Discretionary,Automotive Retail,sp500,XLY
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,sp500,XLB
AXON,Axon Enterprise,Industrials,Aerospace & Defense,sp500,XLI
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,sp500,XLE
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",sp500,XLB
BAC,Bank of America,Financials,Diversified Banks,sp500,XLF
BAX,Baxter International,Health Care,Health Care Equipment,sp500,XLV
BDX,Becton Dickinson,Health Care,Health Care Equipment,sp500,XLV
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,sp500,XLF
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,sp500,XLY
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,sp500,XLV
BIIB,Biogen,Health Care,Biotechnology,sp500,XLV
BLK,BlackRock,Financials,Asset Management & Custody Banks,sp500,XLF
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,sp500,XLF
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,sp500,XLF
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,sp500,XLF
BA,Boeing,Industrials,Aerospace & Defense,sp500,XLI
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,XLY
BSX,Boston Scientific,Health Care,Health Care Equipment,sp500,XLV
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,sp500,XLV
AVGO,Broadcom,Information Technology,Semiconductors,sp500,XLK
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,sp500,XLI
BRO,Brown & Brown,Financials,Insurance Brokers,sp500,XLF
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,sp500,XLP
BLDR,Builders FirstSource,Industrials,Building Products,sp500,XLI
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,sp500,XLP
BXP,"BXP, Inc.",Real Estate,Office REITs,sp500,XLRE
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,sp500,XLI
CDNS,Cadence Design Systems,Information Technology,Application Software,sp500,XLK
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,sp500,XLRE
COF,Capital One,Financials,Consumer Finance,sp500,XLF
CAH,Cardinal Health,Health Care,Health Care Distributors,sp500,XLV
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,XLY
CARR,Carrier Global,Industrials,Building Products,sp500,XLI
CVNA,Carvana,Consumer Discretionary,Automotive Retail,sp500,XLY
CASY,Casey's,Consumer Staples,Food Retail,sp500,XLP
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500,XLI
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,sp500,XLF
CBRE,CBRE Group,Real Estate,Real Estate Services,sp500,XLRE
CDW,CDW Corporation,Information Technology,Technology Distributors,sp500,XLK
COR,Cencora,Health Care,Health Care Distributors,sp500,XLV
CNC,Centene Corporation,Health Care,Managed Health Care,sp500,XLV
CNP,CenterPoint Energy,Utilities,Multi-Utilities,sp500,XLU
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,sp500,XLB
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,sp500,XLV
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,sp500,XLF
CHTR,Charter Communications,Communication Services,Cable & Satellite,sp500,XLC
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,sp500,XLE
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,sp500,XLY
CB,Chubb Limited,Financials,Property & Casualty Insurance,sp500,XLF
CHD,Church & Dwight,Consumer Staples,Household Products,sp500,XLP
CIEN,Ciena,Information Technology,Communications Equipment,sp500,XLK
CI,Cigna,Health Care,Health Care Services,sp500,XLV
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,sp500,XLF
CTAS,Cintas,Industrials,Diversified Support Services,sp500,XLI
CSCO,Cisco,Information Technology,Communications Equipment,sp500,XLK
C,Citigroup,Financials,Diversified Banks,sp500,XLF
CFG,Citizens Financial Group,Financials,Regional Banks,sp500,XLF
CLX,Clorox,Consumer Staples,Household Products,sp500,XLP
CME,CME Group,Financials,Financial Exchanges & Data,sp500,XLF
CMS,CMS Energy,Utilities,Multi-Utilities,sp500,XLU
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500,XLP
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,sp500,XLK
