ticker,price,last_bar,last_month,rsi_m,rsi_m_prev,rsi_partial_month,oversold_now,qualified,episode_active,episode_start,episode_end,episode_exit,episode_months,episode_min_rsi,months_since_oversold,episodes_15y,drawdown_5y,high_5y,high_date,ret_3m,ret_12m,pct_vs_200dma,adv_3m_usd,years_history,first_bar,name,sector,industry,index,liquid,history_ok,priority,market_cap,long_name,sector_y,industry_y,bs_date,cash,total_debt,current_debt,net_debt,fcf_ttm,ocf_ttm,ttm_quarters,revenue_ttm,revenue_yoy_last_q,ebitda_ttm,profitable_years,years_reported,dilution_1y,fcf_burn_annual,runway_months,need_24m,gap_24m,survival_gate,net_debt_to_ebitda,interest_coverage,cash_to_debt,ev,ev_to_sales,ev_to_ebitda,pe_ttm,p_fcf,p_book,error,mcap_ok
TTD,14.404999732971191,2026-09-14,2026-08-31,30.9,32.4,31.5,True,True,True,2026-02-28,2026-08-31,,7,30.9,0.0,1,-0.8967,139.51,2024-12-04,-0.2529,-0.681,-0.4096,343494260.0,10.0,2016-09-21,Trade Desk (The),Communication Services,Advertising,sp500,True,True,True,6775672433.329014,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,2026-06-30,1485333000.0,434110000.0,80922000.0,-1051223000.0,848637000.0,1081674000.0,4,2990138000.0,0.030283600777477826,725666000.0,4,4,-0.04135114773388138,0.0,1000000.0,80922000.0,-1404411000.0,PASS,-1.4486320152797567,,3.421559051853217,5724449433.329014,1.9144432241351448,7.888545740504604,16.652426302395288,7.98418220432177,2.631991442246054,,True
WHR,35.095001220703125,2026-09-14,2026-08-31,33.0,31.0,31.3,True,True,True,2026-05-31,2026-08-31,,4,31.0,0.0,6,-0.8534,239.47,2022-01-04,-0.1817,-0.6189,-0.3801,93899979.0,15.0,2011-09-14,Whirlpool Corporation,Consumer Discretionary,Household Appliances,sp400,True,True,True,2277414293.437271,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-06-30,1239000000.0,8057000000.0,228000000.0,6818000000.0,-329000000.0,225000000.0,4,14921000000.0,-0.06785051683010868,982000000.0,2,4,0.16567184727290707,329000000.0,45.191489361702125,886000000.0,-353000000.0,PASS,6.942973523421589,1.9316770186335404,0.15377932232841007,9095414293.437271,0.6095713620693834,9.262132681708016,12.178686061161878,,0.5790527061879662,,True
XRAY,10.460000038146973,2026-09-14,2026-08-31,36.2,40.1,35.1,False,True,False,2026-03-31,2026-06-30,2026-07-31,4,31.2,2.0,6,-0.8321,62.29,2021-09-15,0.0367,-0.2269,-0.1093,58330546.0,15.0,2011-09-14,Dentsply Sirona,Health Care,Health Care Supplies,sp400,True,True,True,2082251173.9820251,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,2026-06-30,239000000.0,2312000000.0,228000000.0,2073000000.0,143000000.0,319000000.0,4,3643000000.0,-0.040598290598290565,93000000.0,0,4,-0.0005017561465128217,0.0,1000000.0,228000000.0,-11000000.0,PASS,22.29032258064516,-2.8131868131868134,0.10337370242214533,4155251173.982025,1.140612455114473,44.68012015034436,,14.561197020853323,1.5412665980621947,,True
CHTR,143.75,2026-09-14,2026-08-31,33.0,31.5,32.1,True,True,True,2026-04-30,2026-08-31,,5,30.9,0.0,4,-0.8122,765.24,2021-09-16,-0.0142,-0.4543,-0.2047,448142503.0,15.0,2011-09-14,Charter Communications,Communication Services,Cable & Satellite,sp500,True,True,True,17168802633.624817,"Charter Communications, Inc.",Communication Services,Telecom Services,2026-06-30,509000000.0,96710000000.0,2154000000.0,96201000000.0,4358000000.0,16470000000.0,4,54396000000.0,-0.017434258317594042,21354000000.0,4,4,-0.12675428030627356,0.0,1000000.0,2154000000.0,1645000000.0,REVIEW,4.505057600449565,2.483629191321499,0.005263157894736842,113369802633.62482,2.084156971718965,5.309066340433868,3.4867592675923675,3.9396059278625097,1.0127892067971223,,True
PYPL,53.68000030517578,2026-09-14,2026-08-31,42.9,45.6,43.7,False,True,False,2026-05-31,2026-06-30,2026-07-31,2,33.7,2.0,8,-0.8103,282.97,2021-09-16,0.2926,-0.1975,0.0556,804513246.0,11.2,2015-07-06,PayPal,Financials,Transaction & Payment Processing Services,sp500,True,True,True,45904030368.30703,"PayPal Holdings, Inc.",Financial Services,Credit Services,2026-06-30,11256000000.0,13400000000.0,2505000000.0,2144000000.0,6586000000.0,7475000000.0,4,34128000000.0,0.04753861003860993,7287000000.0,4,4,-0.1020833333333333,0.0,1000000.0,2505000000.0,-8751000000.0,PASS,0.29422258817071495,13.718004338394794,0.84,48048030368.30703,1.4078771204965725,6.5936641098266815,9.364347280356391,6.969940839402828,2.3160459318015656,,True
LULU,100.73999786376952,2026-09-14,2026-08-31,34.0,33.7,31.9,True,True,True,2026-04-30,2026-08-31,,5,32.8,0.0,1,-0.803,511.29,2023-12-29,-0.1518,-0.3699,-0.3333,482338774.0,15.0,2011-09-14,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500,True,True,True,11160124103.911018,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,2026-07-31,1389737000.0,2141127000.0,366649000.0,751390000.0,1354336000.0,1982033000.0,4,11093955000.0,-0.04339742414420289,2518426000.0,4,4,-0.06105396136925356,0.0,1000000.0,366649000.0,-1023088000.0,PASS,0.2983569896435313,,0.6490679908291288,11911514103.911018,1.0736941067374997,4.729745525145872,7.870454953719996,8.240291998374863,2.329308871669244,,True
NKE,37.14509963989258,2026-09-14,2026-08-31,28.8,30.0,28.0,True,True,True,2026-03-31,2026-08-31,,6,28.8,0.0,4,-0.7907,177.51,2021-11-05,-0.1733,-0.4912,-0.2687,1053804308.0,15.0,2011-09-14,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500,True,True,True,55082308426.93756,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,2026-05-31,9027000000.0,11033000000.0,2478000000.0,2006000000.0,2184000000.0,2868000000.0,4,46398000000.0,-0.011264305668198582,4594000000.0,4,4,0.005080422086720882,0.0,1000000.0,2478000000.0,-6549000000.0,PASS,0.4366565084893339,,0.8181818181818182,57088308426.93756,1.230404509395611,12.426710584879748,17.72275045911762,25.22083719182123,3.7055034259628363,,True
FISV,52.317501068115234,2026-09-14,2026-08-31,31.4,31.6,31.2,True,True,True,2025-10-31,2026-08-31,,11,29.1,0.0,1,-0.78,237.79,2025-03-03,-0.0272,-0.6105,-0.0988,413743322.0,15.0,2011-09-14,Fiserv,Financials,Transaction & Payment Processing Services,sp500,True,True,True,27800763524.7507,"Fiserv, Inc.",,,2026-06-30,245000000.0,28034000000.0,1333000000.0,27789000000.0,3926000000.0,5831000000.0,4,20866000000.0,-0.040609137055837574,8114000000.0,4,4,-0.023897058823529438,0.0,1000000.0,1333000000.0,1088000000.0,REVIEW,3.4248212965245255,3.12105602060528,0.008739387886138261,55589763524.7507,2.6641312913232387,6.851092374260624,9.925299366208748,7.081192950777051,1.0333319775777097,,True
ARE,51.744998931884766,2026-09-14,2026-08-31,35.0,35.1,35.4,True,True,True,2026-08-31,2026-08-31,,1,35.0,0.0,4,-0.7686,223.57,2021-12-29,-0.0268,-0.3907,0.032,91661781.0,15.0,2011-09-14,Alexandria Real Estate Equities,Real Estate,Office REITs,sp500,True,True,True,8914535217.301723,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,2026-06-30,470449000.0,13167779000.0,1994508000.0,12697330000.0,1279448000.0,1279448000.0,4,2760944000.0,-0.1275894200160319,687779000.0,3,4,0.0034255684155712895,0.0,1000000.0,1994508000.0,1524059000.0,REVIEW,18.461351684189253,-2.3424907397014256,0.035727285520208076,21611865217.301723,7.827708645051013,31.422688417793687,,6.967485366581309,0.5731354617817157,,True
APTV,44.375,2026-09-14,2026-08-31,33.3,38.8,33.2,True,True,True,2026-08-31,2026-08-31,,1,33.3,0.0,2,-0.7509,178.12,2021-11-03,-0.3479,-0.464,-0.3242,195371440.0,14.8,2011-11-17,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,sp500,True,True,True,9183622135.083004,Aptiv PLC,Consumer Cyclical,Auto Parts,2026-06-30,761000000.0,5684000000.0,112000000.0,4923000000.0,684000000.0,1351000000.0,4,18725000000.0,0.023444826508283834,2086000000.0,4,4,-0.06886815412050717,0.0,1000000.0,112000000.0,-649000000.0,PASS,2.360019175455417,3.323170731707317,0.13388458831808586,14106622135.083004,0.7533576574143126,6.762522595917068,41.743736977650016,13.426348150706147,1.049197090721239,,True
BAX,23.915000915527344,2026-09-14,2026-08-31,47.6,47.8,44.4,False,True,False,2025-07-31,2026-05-31,2026-06-30,11,28.8,3.0,7,-0.7326,89.45,2022-02-09,0.1465,-0.0031,0.1665,152243784.0,15.0,2011-09-14,Baxter International,Health Care,Health Care Equipment,sp500,True,True,True,12330354773.368322,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,2026-06-30,2150000000.0,9667000000.0,844000000.0,7517000000.0,812000000.0,1319000000.0,4,11470000000.0,0.053380782918149405,762000000.0,1,4,0.006811531285781047,0.0,1000000.0,844000000.0,-1306000000.0,PASS,9.86482939632546,-0.6541095890410958,0.22240612392676115,19847354773.368324,1.730370947983289,26.046397340378377,,15.185165977054584,1.9868441465305064,,True
ZTS,74.02999877929688,2026-09-14,2026-08-31,27.4,27.4,26.7,True,True,True,2026-04-30,2026-08-31,,5,24.4,0.0,1,-0.7003,247.03,2021-12-29,-0.0696,-0.5005,-0.2734,464219082.0,13.6,2013-02-01,Zoetis,Health Care,Pharmaceuticals,sp500,True,True,True,30545487903.204987,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-30,1673000000.0,9238000000.0,1350000000.0,7565000000.0,2316000000.0,2840000000.0,4,9517000000.0,-0.0024252223120452276,3992000000.0,4,4,-0.06710630192019951,0.0,1000000.0,1350000000.0,-323000000.0,PASS,1.8950400801603207,14.747899159663865,0.18109980515263044,38110487903.20499,4.004464421898181,9.546715406614476,11.67640974893157,13.188898058378664,9.703141011183286,,True
